Country,Date,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views
India,1/1/2019 5:01:31 AM,Tablet,Purchase,/home,Organic Search,137,35,42,804,1984,307,243
USA,1/1/2019 7:52:44 AM,Desktop,Sign Up,/products,Social Media,179,53,15,438,1938,190,1194
India,1/2/2019 6:55:45 AM,Desktop,Sign Up,/contact,Referral,84,49,2,878,1078,191,450
India,1/3/2019 6:09:36 PM,Mobile,Subscribe,/contact,Social Media,168,35,15,779,372,135,479
India,1/3/2019 11:36:06 PM,Desktop,Contact Form,/contact,Social Media,118,42,40,570,1225,20,147
India,1/4/2019 8:46:03 AM,Tablet,Sign Up,/about,Paid Search,160,48,33,208,1678,167,709
UK,1/4/2019 9:46:38 AM,Mobile,Purchase,/blog,Direct,67,20,4,635,1291,432,451
Canada,1/4/2019 3:14:23 PM,Mobile,Sign Up,/home,Referral,76,56,19,673,1271,282,866
Australia,1/5/2019 2:55:51 AM,Mobile,Download,/about,Organic Search,110,42,20,232,1307,335,1066
India,1/5/2019 4:28:07 AM,Tablet,Purchase,/contact,Referral,136,58,31,83,525,425,1453
UK,1/5/2019 4:58:04 AM,Mobile,Contact Form,/home,Paid Search,174,51,11,647,609,405,1394
India,1/5/2019 7:15:55 AM,Tablet,Subscribe,/about,Paid Search,158,61,31,48,1673,291,841
India,1/5/2019 8:39:43 AM,Desktop,Sign Up,/about,Referral,80,39,7,994,1438,482,881
Australia,1/5/2019 12:52:34 PM,Tablet,Subscribe,/blog,Social Media,68,57,6,568,1220,244,111
Canada,1/6/2019 2:45:01 AM,Mobile,Purchase,/home,Organic Search,171,43,32,810,737,415,778
UK,1/6/2019 3:43:46 PM,Tablet,Download,/products,Paid Search,98,61,23,57,612,383,1378
India,1/7/2019 5:41:34 AM,Mobile,Sign Up,/blog,Paid Search,83,29,29,161,462,38,1088
Australia,1/7/2019 6:14:07 AM,Desktop,Sign Up,/blog,Social Media,72,66,8,629,1111,53,1078
Canada,1/7/2019 6:31:51 AM,Desktop,Sign Up,/home,Referral,110,25,5,959,596,146,698
Australia,1/8/2019 6:59:51 AM,Desktop,Subscribe,/contact,Direct,119,58,36,477,511,426,537
India,1/8/2019 9:32:13 AM,Tablet,Download,/about,Organic Search,99,25,28,747,1803,182,734
Canada,1/8/2019 10:18:39 AM,Desktop,Download,/home,Organic Search,53,61,25,153,1448,51,589
USA,1/8/2019 10:00:18 PM,Desktop,Sign Up,/products,Organic Search,169,24,26,627,752,238,1143
Canada,1/9/2019 1:27:11 AM,Mobile,Subscribe,/products,Social Media,110,30,32,876,486,131,338
Australia,1/9/2019 2:10:52 AM,Desktop,Purchase,/blog,Direct,106,69,0,812,1734,261,97
Australia,1/9/2019 6:52:18 AM,Mobile,Purchase,/about,Paid Search,89,63,23,436,1000,313,466
UK,1/9/2019 8:46:52 AM,Desktop,Download,/blog,Organic Search,173,55,25,89,1096,294,1205
Canada,1/9/2019 9:29:46 AM,Tablet,Download,/contact,Social Media,53,30,28,652,1079,426,328
USA,1/9/2019 1:47:18 PM,Tablet,Subscribe,/home,Referral,84,59,3,537,1486,396,146
India,1/10/2019 9:57:03 AM,Mobile,Purchase,/products,Referral,74,59,37,969,255,189,976
Canada,1/10/2019 7:29:45 PM,Desktop,Download,/about,Direct,112,33,22,419,387,89,1324
India,1/11/2019 7:23:16 AM,Mobile,Contact Form,/products,Organic Search,37,56,46,965,531,312,1156
USA,1/11/2019 2:46:11 PM,Desktop,Purchase,/blog,Paid Search,171,53,24,24,1110,422,212
India,1/11/2019 5:01:29 PM,Desktop,Contact Form,/contact,Paid Search,169,49,34,821,1322,94,1300
USA,1/11/2019 7:26:42 PM,Mobile,Purchase,/about,Direct,82,42,46,610,1676,56,731
Canada,1/12/2019 9:12:25 AM,Tablet,Contact Form,/home,Paid Search,176,53,42,536,452,79,586
Canada,1/12/2019 5:48:16 PM,Desktop,Download,/home,Organic Search,65,49,43,645,864,297,494
Canada,1/13/2019 10:52:54 AM,Tablet,Download,/blog,Organic Search,125,39,31,839,875,175,1031
Canada,1/13/2019 3:13:25 PM,Desktop,Purchase,/contact,Referral,110,64,33,793,631,344,556
Australia,1/13/2019 5:33:39 PM,Mobile,Subscribe,/products,Direct,144,37,49,384,531,124,1398
USA,1/14/2019 12:22:28 AM,Desktop,Subscribe,/blog,Referral,35,48,3,108,1562,328,695
UK,1/14/2019 8:33:24 AM,Tablet,Contact Form,/blog,Organic Search,73,23,7,201,705,424,904
USA,1/14/2019 8:54:34 AM,Tablet,Contact Form,/about,Social Media,93,34,46,756,1190,380,363
Australia,1/14/2019 1:39:39 PM,Mobile,Sign Up,/home,Paid Search,142,55,16,116,1621,141,1428
USA,1/15/2019 3:52:59 AM,Tablet,Purchase,/blog,Social Media,41,68,49,451,1317,355,1471
UK,1/15/2019 11:24:07 AM,Tablet,Purchase,/home,Organic Search,71,29,42,525,992,43,1383
UK,1/15/2019 1:53:46 PM,Tablet,Subscribe,/products,Paid Search,148,33,43,233,469,418,257
UK,1/15/2019 9:57:38 PM,Tablet,Contact Form,/about,Organic Search,94,53,27,879,722,469,499
Australia,1/16/2019 9:13:40 AM,Mobile,Purchase,/blog,Paid Search,177,58,33,747,162,90,1247
USA,1/16/2019 3:08:42 PM,Desktop,Contact Form,/contact,Direct,124,39,34,345,1232,116,278
Canada,1/17/2019 12:39:32 AM,Desktop,Download,/about,Paid Search,148,69,5,154,1367,267,944
Australia,1/17/2019 5:35:34 AM,Mobile,Sign Up,/contact,Direct,61,52,33,412,1922,292,291
Australia,1/17/2019 4:10:17 PM,Desktop,Download,/about,Direct,35,48,32,838,265,434,1061
UK,1/18/2019 12:40:36 AM,Desktop,Download,/about,Social Media,99,31,23,384,704,310,170
India,1/20/2019 2:43:08 AM,Mobile,Sign Up,/contact,Referral,98,26,22,193,1163,384,1034
USA,1/20/2019 9:38:35 AM,Mobile,Sign Up,/blog,Social Media,109,20,22,112,1913,479,80
UK,1/20/2019 9:51:45 PM,Tablet,Contact Form,/products,Paid Search,139,32,40,401,1459,13,1439
Australia,1/21/2019 7:30:28 AM,Desktop,Contact Form,/home,Organic Search,30,69,29,727,351,270,766
USA,1/21/2019 9:13:47 AM,Desktop,Subscribe,/contact,Organic Search,137,62,24,864,928,448,692
USA,1/21/2019 5:17:04 PM,Mobile,Download,/about,Paid Search,119,53,22,506,1720,461,1172
Canada,1/21/2019 5:45:19 PM,Desktop,Download,/contact,Organic Search,61,53,4,249,1392,308,442
India,1/21/2019 8:28:32 PM,Mobile,Purchase,/products,Organic Search,98,55,17,525,379,16,83
USA,1/22/2019 1:15:45 PM,Tablet,Subscribe,/contact,Direct,52,23,32,163,160,308,617
India,1/22/2019 11:15:04 PM,Tablet,Download,/contact,Direct,155,38,17,473,900,415,819
Australia,1/23/2019 3:45:31 PM,Desktop,Contact Form,/products,Social Media,139,44,31,580,1560,389,239
India,1/24/2019 2:49:04 AM,Desktop,Subscribe,/products,Social Media,105,57,28,40,438,86,1092
Australia,1/24/2019 7:36:24 AM,Desktop,Download,/about,Direct,79,35,11,490,1259,472,668
Canada,1/25/2019 6:32:29 AM,Desktop,Contact Form,/home,Paid Search,103,65,33,55,1914,244,578
Australia,1/26/2019 2:15:13 PM,Tablet,Subscribe,/products,Social Media,37,27,24,624,1256,384,1062
Canada,1/26/2019 7:44:22 PM,Mobile,Contact Form,/about,Referral,175,39,12,565,845,196,378
India,1/26/2019 10:34:17 PM,Mobile,Subscribe,/blog,Social Media,54,45,19,616,933,167,579
Australia,1/27/2019 12:09:30 AM,Mobile,Contact Form,/contact,Referral,170,49,45,309,1099,49,857
India,1/27/2019 2:11:12 AM,Tablet,Sign Up,/home,Paid Search,86,59,36,40,1382,422,989
UK,1/27/2019 9:31:40 PM,Mobile,Purchase,/about,Direct,142,40,47,204,340,290,1160
India,1/28/2019 8:20:03 AM,Tablet,Subscribe,/about,Referral,37,30,48,824,661,333,230
Canada,1/29/2019 5:35:27 AM,Tablet,Sign Up,/home,Referral,62,55,13,929,1827,463,1156
UK,1/29/2019 6:11:56 AM,Tablet,Purchase,/products,Paid Search,168,39,39,102,1172,52,866
USA,1/29/2019 6:51:29 AM,Mobile,Contact Form,/contact,Organic Search,33,53,29,349,1022,160,260
Australia,1/29/2019 9:59:05 AM,Mobile,Purchase,/contact,Direct,111,65,19,539,1973,335,544
Australia,1/29/2019 6:46:46 PM,Mobile,Purchase,/about,Referral,95,37,21,861,666,481,905
Australia,1/30/2019 1:00:01 AM,Desktop,Subscribe,/about,Organic Search,159,60,47,952,1595,99,1242
Australia,1/30/2019 6:37:24 AM,Mobile,Purchase,/products,Direct,178,35,25,955,780,17,730
Australia,1/30/2019 6:48:08 AM,Tablet,Purchase,/about,Direct,143,55,42,108,647,461,856
USA,1/31/2019 8:25:10 AM,Mobile,Subscribe,/about,Direct,38,28,14,976,1109,187,150
USA,1/31/2019 8:43:43 AM,Tablet,Subscribe,/home,Organic Search,169,32,14,690,920,273,1291
USA,1/31/2019 8:45:15 AM,Desktop,Subscribe,/blog,Social Media,63,23,8,214,1809,102,1275
USA,1/31/2019 1:16:50 PM,Tablet,Contact Form,/blog,Organic Search,174,23,37,425,1413,63,793
Canada,1/31/2019 9:29:07 PM,Tablet,Contact Form,/about,Organic Search,151,31,27,288,1689,342,588
Canada,2/1/2019 6:50:57 AM,Mobile,Purchase,/contact,Direct,47,31,18,317,1007,166,1234
Canada,2/1/2019 12:13:08 PM,Tablet,Purchase,/home,Referral,93,37,31,366,1891,69,555
USA,2/1/2019 7:50:26 PM,Mobile,Contact Form,/about,Social Media,142,33,8,180,555,220,577
USA,2/2/2019 8:20:23 AM,Tablet,Sign Up,/home,Social Media,81,53,29,583,957,203,679
UK,2/2/2019 10:26:47 AM,Desktop,Subscribe,/blog,Direct,171,49,2,849,732,469,408
Canada,2/2/2019 2:02:35 PM,Mobile,Purchase,/contact,Paid Search,70,37,35,341,1122,89,543
Canada,2/3/2019 2:53:00 AM,Desktop,Subscribe,/contact,Paid Search,127,28,42,417,324,489,711
Australia,2/3/2019 8:44:20 PM,Desktop,Contact Form,/blog,Organic Search,96,41,29,60,886,470,419
India,2/4/2019 10:40:23 AM,Tablet,Purchase,/home,Social Media,134,21,21,185,347,80,94
Australia,2/4/2019 11:42:43 AM,Mobile,Contact Form,/home,Organic Search,123,63,44,935,987,450,198
UK,2/4/2019 12:38:18 PM,Tablet,Sign Up,/contact,Direct,78,32,42,71,1146,227,310
India,2/4/2019 8:27:29 PM,Tablet,Contact Form,/products,Organic Search,98,64,15,926,149,317,1164
